java.sql.Timestamp,java.sql.Timestamp,java.lang.Integer,java.lang.Integer,java.lang.Integer,java.lang.Integer,java.lang.Integer,java.lang.Integer,java.lang.Integer,java.lang.Integer,java.lang.String,java.lang.Short,java.lang.String,java.lang.String,java.lang.String,java.lang.Long,java.lang.Long,java.lang.Double,java.lang.Integer,java.lang.Integer,java.lang.Integer,java.lang.Double
StartDate,EndDate,ServiceType,Provider,Consumer,PeerConsumer,Period,ServiceLocation,ConsumerLocation,PeerConsumerLocation,DEVICE,QOS,PROTOCOL,SOURCE,DESTINATION,SrcBytes,BILLABLE_BYTES,Empty,GroupId,BillingRecordTypeId,IsVolatile,Amount
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",0,"ICMP","10.199.40.23","135.42.8.33",68768,68768,0.0,18000000,300,0,687.68
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"ICMP","10.199.40.23","10.192.17.139",86408,86408,0.0,18000000,300,0,864.08
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"ICMP","10.199.40.23","10.199.40.7",642992,642992,0.0,18000000,300,0,6429.92
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"IP","10.199.40.23","10.199.40.7",7389,7389,0.0,18000001,300,0,73.89
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"IP","10.199.40.4","10.199.40.7",6621,6621,0.0,18000001,300,0,66.21
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"IP","10.199.40.5","10.199.40.7",6533,6533,0.0,18000001,300,0,65.33
2005/09/14-tt:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"TCP","10.199.40.23","10.199.40.7",647388,647388,0.0,18000002,300,0,6473.88
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.104","10.199.43.255",161099,161099,0.0,18000003,300,0,1610.99
2005/09/14-12:30:00,2005/09/14-22:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.106","10.199.43.255",8688,8688,0.0,18000003,300,0,86.88
2005/09/14-11:30:00,2005/09/14-20:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.108","10.199.43.255",10527,10527,0.0,18000003,300,0,105.27
2005/09/14-13:30:00,2005/09/14-23:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.113","10.199.43.255",15218,15218,0.0,18000003,300,0,152.18
2005/09/14-10:30:00,2005/09/14-20:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"U99.40.115","10.199.43.255",11443,11443,0.0,18000003,300,0,114.43
2005/09/14-15:30:00,2005/09/14-20:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.118","10.199.43.255",5947,5947,0.0,18000003,300,0,59.47
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.121","10.199.43.255",27251,27251,0.0,18000003,300,0,272.51
2005/09/14-11:30:00,2005/09/14-14:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.124","10.199.43.255",4115,4115,0.0,18000003,300,0,
2005/09/14-10:30:00,2005/09/14-20:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.126","10.199.43.255",10746,10746,0.0,18000003,300,0,107.46
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.13","10.199.43.255",37812,37812,0.0,18000003,300,0,378.12
2005/09/14-11:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.130","10.199.43.255",12096,12096,0.0,18000003,300,0,120.96
2005/09/14-11:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.133","10.199.43.255",11433,11433,0.0,18000003,300,0,hundred
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.15","10.199.43.255",31122,31122,0.0,18000003,300,0,311.22
2005/09/14-11:30:00,2005/09/14-22:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.151","10.199.43.255",12822,12822,0.0,18000003,300,0,128.22
2005/09/14-11:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.155","10.199.43.255",6405,6405,0.0,18000003,300,0,64.05
2005/09/14-11:30:00,2005/09/14-20:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.158","10.199.43.255",srcbytes,57076,0.0,18000003,300,0,570.76
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.16","10.199.43.255",2758977,2758977,0.0,18000003,300,0,27589.77
2005/09/14-12:30:00,2005/09/15-00:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.160","10.199.43.255",12120,12120,0.0,18000003,300,0,121.2
2005/09/14-12:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.170","10.199.43.255",10298,10298,0.0,18000003,300,0,102.98
2005/09/14-11:30:00,2005/09/14-20:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.171","10.199.43.255",11665,11665,0.0,18000003,300,0,116.65
2005/09/14-10:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.174","10.199.43.255",11906,11906,0.0,18000003,300,0,119.06
2005/09/14-12:30:00,2005/09/14-17:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.177","10.199.43.255",6622,6622,0.0,18000003,300,0,66.22
2005/09/14-11:30:00,2005/09/14-20:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.180","10.199.43.255",63394,63394,0.0,18000003,300,0,633.94
2005/09/14-11:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.182","10.199.43.255",11416,11416,0.0,18000003,300,0,114.16
2005/09/14-11:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.194","10.199.43.255",10995,10995,0.0,18000003,300,0,109.95
2005/09/14-11:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.199","10.199.43.255",69022,69022,0.0,18000003,300,0,690.22
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.20","10.199.43.255",55783,55783,0.0,18000003,300,0,557.83
2005/09/14-13:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.201","10.199.43.255",8695,8695,0.0,18000003,300,0,86.95
2005/09/14-11:30:00,2005/09/14-20:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.203","10.199.43.255",9830,9830,0.0,18000003,300,0,98.3
2005/09/14-12:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.204","10.199.43.255",10303,10303,0.0,18000003,300,0,103.03
2005/09/14-12:30:00,2005/09/14-22:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.209","10.199.43.255",11901,11901,0.0,18000003,300,0,119.01
2005/09/14-11:30:00,2005/09/14-20:30:00,18,1,0,0,0,-1,100610
2005/09/14-16:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.215","10.199.43.255",34261,34261,0.0,18000003,300,0,342.61
2005/09/14-10:30:00,2005/09/14-23:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.216","10.199.43.255",14181,14181,0.0,18000003,300,0,141.81
2005/09/14-12:30:00,2005/09/14-22:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.217","10.199.43.255",12096,12096,0.0,18000003,300,0,120.96
2005/09/14-12:30:00,2005/09/14-18:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.218","10.199.43.255",7550,7550,0.0,18000003,300,0,75.5
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.220","10.199.43.255",33118,33118,0.0,18000003,300,0,331.18
2005/09/14-12:30:00,2005/09/14-22:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.223","10.199.43.255",11214,11214,0.0,18000003,300,0,112.14
2005/09/14-13:30:00,2005/09/14-23:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.226","10.199.43.255",69184,69184,0.0,18000003,300,0,691.84
2005/09/14-13:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.228","10.199.43.255",10515,10515,0.0,18000003,300,0,105.15
2005/09/14-11:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.230","10.199.43.255",11204,11204,0.0,18000003,300,0,112.04
2005/09/14-13:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.231","10.199.43.255",5016,5016,0.0,18000003,300,0,50.16
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.233","10.199.43.255",33393,33393,0.0,18000003,300,0,333.93
2005/09/14-11:30:00,2005/09/14-22:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.236","10.199.43.255",12349,12349,0.0,18000003,300,0,123.492005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.24","10.199.43.255",29988,29988,0.0,18000003,300,0,299.88
2005/09/14-11:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.240","10.199.43.255",10975,10975,0.0,18000003,300,0,109.75
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.241","10.199.43.255",27700,27700,0.0,18000003,300,0,277
2005/09/14-16:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.244","10.199.43.255",12943,12943,0.0,18000003,300,0,129.43
2005/09/14-17:30:00,2005/09/14-19:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.247","10.199.43.255",4409,4409,0.0,18000003,300,0,44.09
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.28","10.199.43.255",30537,30537,0.0,18000003,300,0,305.37
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.29","10.199.43.255",72916,72916,0.0,18000003,300,0,729.16
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.32","10.199.43.255",30044,30044,0.0,18000003,300,0,300.44
2005/09/14-11:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.39","10.199.43.255",54401,54401,0.0,18000003,300,0,544.01
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.41","10.199.43.255",34838,34838,0.0,18000003,300,0,348.38
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.46","10.199.43.255",105521,105521,0.0,18000003,300,0,1055.21
2005/09/14-11:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.63","10.199.43.255",82084,82084,0.0,18000003,300,0,820.84
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.69","10.199.43.255",33393,33393,0.0,18000003,300,0,333.93
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.71","10.199.43.255",30090,30090,0.0,18000003,300,0,300.9
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.8","10.199.43.255",36132,36132,0.0,18000003,300,0,361.32
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.80","10.199.43.255",27022,27022,0.0,18000003,300,0,270.22
2005/09/14-09:30:00,2005/09/14-20:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.82","10.199.43.255",11901,11901,0.0,18000003,300,0,119.01
2005/09/14-10:30:00,2005/09/14-20:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.84","10.199.43.255",10985,10985,0.0,18000003,300,0,109.85
2005/09/14-10:30:00,2005/09/14-20:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.85","10.199.43.255",10746,10746,0.0,18000003,300,0,107.46
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.9","10.199.43.255",27251,27251,0.0,18000003,300,0,272.51
2005/09/14-12:30:00,2005/09/14-20:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.40.95","10.199.43.255",9604,9604,0.0,18000003,300,0,96.04
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.106","10.199.43.255",160636,160636,0.0,18000003,300,0,1606.36
2005/09/14-05:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.11","10.199.43.255",29736,29736,0.0,18000003,300,0,297.36
2005/09/14-10:30:00,2005/09/15-06:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.119","10.199.43.255",22184,22184,0.0,18000003,300,0,221.84
2005/09/14-12:30:00,2005/09/14-22:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.125","10.199.43.255",11443,11443,0.0,18000003,300,0,114.43
2005/09/14-10:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.136","10.199.43.255",12588,12588,0.0,18000003,300,0,125.88
2005/09/14-11:30:00,2005/09/14-21:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.146","10.199.43.255",14677,14677,0.0,18000003,300,0,146.77
2005/09/14-13:30:00,2005/09/14-20:30:00,18,1,0,0,0,-1,10061000,10061000,"10.192.17.139_99",72,"UDP","10.199.41.159","10.199.43.255",9153,9153,0.0,18000003,300,0,91.53
